airline_name,link,title,author,author_country,date,content,lounge_name,airport,lounge_type,date_visit,type_traveller,overall_rating,comfort_rating,cleanliness_rating,bar_beverages_rating,catering_rating,washrooms_rating,wifi_connectivity_rating,staff_service_rating,recommended
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - Dublin Airport,Patrick Jordan,Ireland,2011-09-13,The new lounge spans two floors with views of the apron A water feaTUre dominates one wall. There are work stations and complimentary wifi. The range of food on offer during the early morning is sufficient and a bar service is available. This lounge has own showers and washrooms something the former lounge lacked. The lounge is also open to non FFP members for a 25euro fee.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,Dublin Airport,Business Class,NA,NA,4,5,5,4,4,4,5,3,0
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport,J Russell,NA,2010-05-01,I'm sitting in the lounge a bit incredulous that I paid for access to this. I paid for it because I had a lot of time to kill and it seemed a good way to pass the day. What a gloomy awful lounge. I found this page because I was looking to see if maybe I'd missed something because it seems there is no free WiFi. Completely insane. I thought this was for business travellers? The girl at the desk looked me up and down when I walked in too so apparently despite having a lounge that looks like a 3rd grade classroom without the fun stuff on the walls (or windows) they have a problem with how people dress? I'm neatly attired but I'm flying today so I am absolutely not wearing a suit. Anyway the long and short of it is that the lounge is unfriendly no amenities no toilets no natural light can't really see myself bothering with it again.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,1,1,3,2,2,0,0,2,0
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - Dublin Airport,Patrick Jordan,NA,2009-03-18,My first visit to the Gold Circle lounge in many months. I was aware from other reviews of the decrease in size but I didn't expect to see the work stations gone too. The only saving grace is that there is a choice of breads and pastries in the morning.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,Dublin Airport,Business Class,NA,NA,2,2,3,3,2,0,0,3,0
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport,Patrick Jordan,NA,2009-03-18,The range of food and beverages is reasonable. The main attraction of this lounge is that it is beside boarding gates. This evening I noticed the red wine bottle was empty. I asked the attendant to replace it but she wasn't able to open the new bottle. I can understand a bottle of wine being used but to have a staff member unable to open another is beyond belief. What used to be a very good lounge has become almost a joke.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,2,2,4,1,3,0,1,3,0
aeromexico,/lounge-reviews/aeromexico,"Aeromexico Business Class ""skyteam"" Lounge - London Heathrow Airport",G Smith,United Kingdom,2014-03-03,I am writing this review as I sit in the lounge. Door understaffed & young man at desk very obviously nicer to male clients than myself as a solo middle aged woman. Lounge is poorly set up rather like a bus station where toomany travellers require seats for their bags & coats. Food selection is the worst I've seen in a lounge. Drinks selection is better but they sure do not hurry to put out the bubbly. The latest empty has been sitting on a counter for a half hour now. In general lots of empties left around to point some travellers are clearing up instead. Wifi works well at least.,"AEROMEXICO BUSINESS CLASS ""SKYTEAM"" LOUNGE REVIEW",London Heathrow Airport,Business Class,NA,NA,2,2,2,2,1,3,4,1,0
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - Calgary Airport,D Carter,Canada,2015-01-02,"I am always pretty pleased with the Air Canada Lounges (Vancouver is very good and so is Edmonton). Calgary has always been a large and crowded one. They have just done some renovations and while it looks much better (and the staff are invariably courteous and helpful) there is one down-side. There is no longer a self-serve bar. Been through there at least six times in the last month. When the Lounge is not too busy the bar is just fine (they will mix your drink or pour your wine) BUT when the Lounge is busy you end up standing along the bar with people several travellers deep... trying to get the bartender's attention. Once you have it it is very good - not sure if they are trying to control alcohol cost by not letting you ""help yourself"" but it certainly (only when the Lounge is busy as it often is) slows you down. I only had a 35 minute change of planes and could not get anything for the first 15minutes - waited at the bar got my wine drank half and had to leave. Again - it looks great but it is tougher if you are in a hurry. Staff still very courteous.",AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,Calgary Airport,Business Class,NA,NA,4,4,4,2,3,4,4,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - Montréal Airport,J Taylor,United States,2014-10-04,BRU-YUL-SFO. We went out of our way to fly Air Canada back home from Europe. Had a 6-hour layover in Montreal which was nice. Easy access to the lounge staff speaks English and French (and possibly some other languages) quite fluently. Food in the lounge was not up to par (about 900 ml of cold pasta salad and some other similarly sized items were available for everybody). I went downstairs to the Burger King. Other than that however the internet is fast and functional there is a television and a wide selection of alcoholic beverages in an open-bar format. Not the best lounge but certainly not the worst.,AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,Montréal Airport,Business Class,NA,NA,4,4,4,5,2,3,4,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Los Angeles Lax Airport,Keith Rogers,Canada,2013-10-06,Wow a bad terminal in a horrible airport with a terrible lounge. Small poor food poor seating tiny and overall as far as international lounges a real disappointment. The Starbucks on main level is much better.,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Los Angeles Lax Airport,Business Class,NA,NA,2,2,2,2,2,2,2,3,0
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Arrivals Lounge - London Heathrow Airport,Paul Browne,NA,2010-05-01,This place hasn't changed for years. Shower rooms are large and clean but had a really bad smell - like the sewer had backed up. The staff are welcoming but if I hadn't arrived so early and knew that my hotel room would not be ready I think I would just go straight to the hotel. Food offerings really limited in a small crowded room.,AIR CANADA BUSINESS CLASS ARRIVALS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,3,4,4,3,3,3,0,4,0
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Vancouver Airport,Paul Browne,NA,2010-05-01,One of the nicest lounges I've seen with great breakfast offerings and superb staff. And then there's the views!,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Vancouver Airport,Business Class,NA,NA,5,5,5,5,5,4,5,5,0
